!SIL	SIL
<SPOKEN_NOISE>	SPN
<UNK>	SIL
-	- 
0	0 
00003	0 0 0 0 3 
01	0 1 
010	0 1 0 
0112로	0 1 1 2 f5 m8 
0119	0 1 1 9 
015	0 1 5 
02	0 2 
0208	0 2 0 8 
031	0 3 1 
032	0 3 2 
033	0 3 3 
04	0 4 
042	0 4 2 
043	0 4 3 
051	0 5 1 
052	0 5 2 
0525에게	0 5 2 5 f11 m5 f0 m5 
054	0 5 4 
055	0 5 5 
06	0 6 
061	0 6 1 
062	0 6 2 
063	0 6 3 
066	0 6 6 
07	0 7 
080	0 8 0 
0827	0 8 2 7 
09	0 9 
0924로	0 9 2 4 f5 m8 
0933	0 9 3 3 
0955	0 9 5 5 
0번지	0 f7 m4 e3 f12 m20 
1	1 
10	1 0 
100	1 0 0 
1000	1 0 0 0 
1001	1 0 0 1 
1001호	1 0 0 1 f18 m8 
1003	1 0 0 3 
1004	1 0 0 4 
1004번지	1 0 0 4 f7 m4 e3 f12 m20 
1005	1 0 0 5 
1005에게	1 0 0 5 f11 m5 f0 m5 
1006	1 0 0 6 
1006동	1 0 0 6 f3 m8 e20 
1006번지	1 0 0 6 f7 m4 e3 f12 m20 
1007	1 0 0 7 
1008	1 0 0 8 
1009	1 0 0 9 
100번	1 0 0 f7 m4 e3 
100번길	1 0 0 f7 m4 e3 f0 m20 e7 
100번지	1 0 0 f7 m4 e3 f12 m20 
100세	1 0 0 f9 m5 
100억에게	1 0 0 f11 m4 e0 f11 m5 f0 m5 
100주년	1 0 0 f12 m13 f2 m6 e3 
101	1 0 1 
1010	1 0 1 0 
1010번지	1 0 1 0 f7 m4 e3 f12 m20 
1011	1 0 1 1 
1012번길	1 0 1 2 f7 m4 e3 f0 m20 e7 
1013	1 0 1 3 
1014	1 0 1 4 
1015	1 0 1 5 
1016	1 0 1 6 
1017	1 0 1 7 
1017번지	1 0 1 7 f7 m4 e3 f12 m20 
1018	1 0 1 8 
1018번지	1 0 1 8 f7 m4 e3 f12 m20 
1019	1 0 1 9 
101동	1 0 1 f3 m8 e20 
101번길	1 0 1 f7 m4 e3 f0 m20 e7 
101번지	1 0 1 f7 m4 e3 f12 m20 
101호	1 0 1 f18 m8 
102	1 0 2 
1021	1 0 2 1 
1022	1 0 2 2 
1023	1 0 2 3 
1024	1 0 2 4 
1025	1 0 2 5 
1026	1 0 2 6 
1027	1 0 2 7 
1029	1 0 2 9 
102길	1 0 2 f0 m20 e7 
102동	1 0 2 f3 m8 e20 
102동에게	1 0 2 f3 m8 e20 f11 m5 f0 m5 
102번길	1 0 2 f7 m4 e3 f0 m20 e7 
102번지	1 0 2 f7 m4 e3 f12 m20 
102호	1 0 2 f18 m8 
103	1 0 3 
1031	1 0 3 1 
1032	1 0 3 2 
1032번길	1 0 3 2 f7 m4 e3 f0 m20 e7 
1032번지	1 0 3 2 f7 m4 e3 f12 m20 
1033	1 0 3 3 
1035	1 0 3 5 
1036	1 0 3 6 
1036번지	1 0 3 6 f7 m4 e3 f12 m20 
1037	1 0 3 7 
1039	1 0 3 9 
103동	1 0 3 f3 m8 e20 
103번길	1 0 3 f7 m4 e3 f0 m20 e7 
103번지	1 0 3 f7 m4 e3 f12 m20 
104	1 0 4 
1040	1 0 4 0 
1043	1 0 4 3 
1044	1 0 4 4 
1044번길	1 0 4 4 f7 m4 e3 f0 m20 e7 
1046	1 0 4 6 
